Country Name,Country Code,Series Name,Series Code,2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Uzbekistan,UZB,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,3324724420.4,3191418159.6,3194584823.5,3274777886.5,3428320482.8,3758625190.3,3947093949.6,4319953006.4,4821099896,5731951362.6,6442910516.1,7553257611.7,9935334116.5,15347065500.5,22173317490.6,25955007857.7,29258375673.5,32990564016.7,39164853498.1,..
Uzbekistan,UZB,"External debt stocks, short-term (DOD, current US$)",DT.DOD.DSTC.CD,183000000,198436000,170764000,492305000,422937000,142830000,74809000,111056000,152955000,160680000,389736000,739432000,896772000,672806000,2376151000,3562001000,6277566203.2,6933429480,5699285000,..
Uzbekistan,UZB,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,4520245666.3,4667749025.5,5076578346,7296457110.2,7986413935.7,8214908762.9,8550628096.6,10316705357.1,12218877368.7,13571303501.2,15334623459.2,16701437846.8,18258516232.9,24961864235.4,37154092630,44872282608.6,53592822615.9,61569881480.8,70256401083.6,..
Uzbekistan,UZB,Female primary school age children out-of-school (%),SE.LPV.PRIM.SD.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,SE.LPV.PRIM.LD.FE,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Uzbekistan,UZB,Fertilizer consumption (% of fertilizer production),AG.CON.FERT.PT.ZS,76.0153093769934,70.8022654037692,70.1826291079812,77.6502981736862,80.7296899897223,76.0528075703566,70.1689734296579,84.0351562952153,82.5856084072948,81.4049766790515,83.5359262066439,89.6662127428529,74.8354501738172,90.3147365471267,91.3978795139092,78.923778988129,68.6399476972042,87.7189012102206,..,..
Uzbekistan,UZB,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,165.203327171904,169.057122872464,175.869411764706,197.896699121349,205.389741131352,213.023711589644,211.386174890083,232.749198520345,244.66196834817,248.692155407077,253.734294847967,254.295151996821,217.958853674312,272.46882360233,268.256524981357,296.838973133139,237.159240412064,303.041697691735,..,..
Uzbekistan,UZB,F-gases emissions from Industrial Processes (Mt CO2e),EN.GHG.FGAS.IP.MT.CE.AR5,0.1286,0.0622,0.0764,0.0625,0.0653,0.1216,0.1461,0.153,0.1633,0.1706,0.178,0.1935,0.2005,0.2105,0.2213,0.2305,0.2405,0.2506,0.2606,..
Uzbekistan,UZB,Final consumption expenditure (% of GDP),NE.CON.TOTL.ZS,64.8338358998149,66.8665874423554,65.3746003315388,69.4000923533081,74.0231147967246,73.2011136695412,74.7757064628978,77.4305255706034,76.5624570063136,78.519940077661,80.4322895287501,81.3811615360826,79.3407722032449,79.8706359055722,79.0473200694538,80.8374775499932,83.428480332153,82.9325871405412,81.8991616702889,..
Uzbekistan,UZB,Final consumption expenditure (annual % growth),NE.CON.TOTL.KD.ZG,9.65967406651092,7.21863648289268,0.624522027255381,4.53484619290354,0.283043872125319,12.5443581110575,9.86934195073175,8.69606393214393,8.67850667393743,10.9007428032329,7.28647544290352,3.69111045928254,5.91348437016053,5.91316107077189,-1.66709337070419,10.0543852369519,9.81964299472089,5.92885441746915,6.35423107925617,..
