Country Name,Country Code,Series Name,Series Code,Year,Value
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2021,4016100.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2022,4028500.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2023,4029000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2024,4029000.0
Uzbekistan,UZB,Arable land (hectares),AG.LND.ARBL.HA,2025,4029000.0
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2006,0.162103188492561
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2007,0.158405921581941
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2008,0.15457482938394
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2009,0.15071944464806
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2010,0.146976418176234
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2011,0.143391454577071
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2012,0.139908877423317
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2013,0.136421448412255
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2014,0.133805406572228
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2015,0.131417429170689
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2016,0.128986917767252
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2017,0.126540038212175
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2018,0.124169497944151
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2019,0.12235815516725
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2020,0.11978072534896
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2021,0.117279980525467
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2022,0.115301101592764
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2023,0.113008114734342
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2024,0.113008114734342
Uzbekistan,UZB,Arable land (hectares per person),AG.LND.ARBL.HA.PC,2025,0.113008114734342
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2006,9.93002179648962
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2007,9.83751697309993
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2008,9.74844426298321
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2009,9.65947539253805
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2010,9.57117818175144
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2011,9.48351227257812
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2012,9.39421753097751
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2013,9.30496180491017
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2014,9.27972023157996
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2015,9.17158420335906
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2016,9.15883438381628
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2017,9.1386964692638
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2018,9.12373719605889
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2019,9.15549704350195
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2020,9.12969476909111
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2021,9.11397403399046
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2022,9.14213483656037
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2023,9.14331101781459
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2024,9.14331101781459
Uzbekistan,UZB,Arable land (% of land area),AG.LND.ARBL.ZS,2025,9.14331101781459
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2006,1617537.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2007,1536025.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2008,1563027.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2009,1620512.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2010,1685429.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2011,1600010.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2012,1616297.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2013,1623342.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2014,1641688.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2015,1657418.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2016,1677312.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2017,1644316.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2018,1522676.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2019,1558575.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2020,1602008.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2021,1507228.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2022,1501020.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2023,1480604.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2024,1480604.0
Uzbekistan,UZB,Land under cereal production (hectares),AG.LND.CREL.HA,2025,1480604.0
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2006,0.805322932201446
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2007,0.809662739917061
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2008,0.814281814908009
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2009,0.81891064239755
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2010,0.823598506051958
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2011,0.828344527074934
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2012,0.83295089490592
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2013,0.844445362319838
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2014,0.853624116258097
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2015,0.864729913753972
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2016,0.876095971093372
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2017,0.888812223664739
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2018,0.903340316441475
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2019,0.916571143217079
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2020,0.942244411664586
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2021,0.956308024681552
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2022,0.995116327623612
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2023,0.996255531601044
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2024,0.996255531601044
Uzbekistan,UZB,Permanent cropland (% of land area),AG.LND.CROP.ZS,2025,0.996255531601044
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2006,31943.444
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2007,32331.583
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2008,32719.722
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2009,33107.861
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2010,33496.0
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2011,33895.6
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2012,34295.2
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2013,34694.8
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2014,35094.4
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2015,35494.0
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2016,35863.0
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2017,36121.36
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2018,36379.8
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2019,36638.2
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2020,36896.6
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2021,37155.0
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2022,37413.4
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2023,37671.8
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2024,37671.8
Uzbekistan,UZB,Forest area (sq. km),AG.LND.FRST.K2,2025,37671.8
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2006,7.32899942640817
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2007,7.41577282652574
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2008,7.50509144040719
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2009,7.59450412322655
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2010,7.6844723004781
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2011,7.77762735510281
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2012,7.86948141349243
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2013,7.96137580342781
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2014,8.05307155527101
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2015,8.05583295506128
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2016,8.1397486557828
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2017,8.19844389770035
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2018,8.25712061408984
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2019,8.31637366503615
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2020,8.37322137751049
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2021,8.43180461723851
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2022,8.49046413042492
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2023,8.54914331101781
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2024,8.54914331101781
Uzbekistan,UZB,Forest area (% of land area),AG.LND.FRST.ZS,2025,8.54914331101781
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2006,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2007,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2008,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2009,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2010,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2011,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2012,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2013,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2014,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2015,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2016,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2017,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2018,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2019,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2020,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2021,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2022,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2023,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2024,206.0
Uzbekistan,UZB,Average precipitation in depth (mm per year),AG.LND.PRCP.MM,2025,206.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2006,435850.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2007,435984.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2008,435967.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2009,435945.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2010,435892.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2011,435809.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2012,435800.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2013,435789.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2014,435789.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2015,440600.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2016,440591.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2017,440588.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2018,440587.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2019,440555.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2020,440650.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2021,440653.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2022,440652.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2023,440650.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2024,440650.0
Uzbekistan,UZB,Land area (sq. km),AG.LND.TOTL.K2,2025,440650.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2006,6637128.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2007,6753700.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2008,6698000.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2009,7378300.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2010,7473500.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2011,7063268.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2012,7431597.0
Uzbekistan,UZB,Cereal production (metric tons),AG.PRD.CREL.MT,2013,7704980.0
